"x","y"
427,1901.611
428,934.4476
429,2321.075
430,2410.3679
431,1538.124
432,1820.4351
433,1348.056
434,2323.0071
435,1926.194
436,1162.656
437,2640.845
438,1452.6639
439,1675.204
440,1335.255
441,1277.198
442,2871.2329
443,2083.72
444,1207.639
445,2108.843
446,2242.2549
447,1751.0909
448,1361.667
449,1200.176
450,1426.484
451,1744.062
452,2106.7471
453,2108.6831
454,2838.5281
455,2632.6599
456,1588.157
457,1512.804
458,1352.749
459,1577.521
460,1560.324
461,1984.09
462,3104.8391
463,2826.3569
464,2176.8479
465,1901.644
466,1337.9871
467,2034.563
468,1249.071
469,932.2463
470,2312.3701
471,3055.0371
472,2153.2209
473,2392.115
474,2054.9641
475,2242.053
476,2273.281
477,1417.611
478,1962.667
479,2615.936
480,2351.0281
481,1875.307
482,2202.98
483,2869.6521
484,1994.625
485,3398.7749
486,1682.74
487,2546.2571
488,691.2237
489,1757.2939
490,2863.03
491,3843.406
492,1973.201
493,1755.184
494,2486.3411
495,1766.4449
496,2584.25
497,1349.038
498,2777.1411
499,1711.4091
500,2770.2361
501,1602.965
502,2950.728
503,1870.423
504,2957.3701
505,2524.6221
506,1723.194
507,2207.9021
508,2804.7981
509,1780.314
510,2488.4341
511,2433.624
512,2808.113
513,1853.119
514,1217.937
515,2448.9619
516,1387.087
517,1065.2889
518,2313.2661
519,2261.7471
520,2704.71
521,3779.377
522,2364.959
523,1648.068
524,2722.248
525,2033.545
526,3248.9021
527,1358.188
528,1414.655
529,2783.4509
530,3036.635
531,3558.988
532,3248.3159
533,2003.55
534,3191.344
535,3179.093
536,2663.3259
537,2312.9341
538,2795.624
539,3452.634
540,2672.397
541,2880.968
542,2434.8401
543,1738.8409
544,3036.1331
545,3722.6331
546,3224.958
547,2456.0029
548,3428.197
549,2696.3091
550,1899.703
551,3701.207
552,1608.441
553,2400.6389
554,3063.178
555,3863.6489
556,1522.484
557,4987.7212
558,2277.1531
559,1209.275
560,3229.75
561,4036.7061
562,444.57
563,2383.4241
564,2765.241
565,1519.257
566,3228.8091
567,608.2505
568,177.3318
569,2050.627
570,2166.803
571,1311.9659
572,434.7462
573,3556.0491
574,-772.282
575,3944.6951
576,2023.625
577,4177.377
578,2011.076
579,2142.791
580,1917.516
581,2497.9409
582,4248.4258
583,4010.4209
584,3581.6841
585,1036.646
586,1189.02
587,3510.4089
588,1949.751
589,1927.922
590,3757.5
591,1239.803
592,1609.045
593,1041.887
594,1562.433
595,2101.1289
596,446.962
597,3140.7219
598,1866.094
599,2580.7229
600,1872.807
601,7.8509
602,2493.115
603,-905.1535
604,3514.7781
605,2266.7981
606,1642.611
607,3389.531
608,3135.978
609,2359.531
610,2517.1121
611,1511.439
612,2173.79
613,77.6369
614,3061.209
615,2882.365
616,1378.308
617,4002.8479
618,2059.5659
619,1805.681
620,-183.5365
621,-644.3215
622,3624.0859
623,176.8948
624,23.6813
625,2287.3879
626,1413.827
627,6002.9219
628,1555.963
629,416.8448
630,963.539
631,2093.106
632,2419.4861
633,4012.3931
634,3963.092
635,2684.709
636,2126.175
637,406.4875
638,2030.644
639,55.6879
640,1396.467
641,2361.698
642,1164.349
643,327.1929
644,640.1141
645,-1416.424
646,5969.793
647,701.9258
648,4361.0298
649,-849.1665
650,882.0359
651,4734.063
652,3293.3269
653,3575.1321
654,848.2543
655,1377.01
656,1957.2889
657,3733.2339
658,3130.623
659,-2799.167
660,2147.5291
661,5583.2808
662,1925.826
663,-2415.5681
664,1137.223
665,1572.322
666,-1045.0439
667,7765.1519
668,7214.0889
669,596.4047
670,-581.3713
671,3955.2739
672,2640.396
673,3951.0911
674,-926.4888
675,4009.6919
676,6149.2319
677,966.2288
678,4203.1621
679,3701.3931
680,-1315.1121
681,5307.6851
682,-4338.0859
683,3123.835
684,4638.0229
685,1455.088
686,1813.927
687,1817.802
688,-4805.833
689,-2097.1321
690,5239.7539
691,-1643.467
692,-905.7075
693,348.3626
694,2570.366
695,-223.6349
696,5039.5508
697,2213.0081
698,-3934.6909
699,2561.936
700,6024.8579
701,4917.7881
702,1626.116
703,2613.002
704,-1597.406
705,3057.114
706,142.7675
707,-75.1234
708,4884.0288
709,974.4821
710,-3186.9199
711,-373.4638
712,1692.236
713,5332.479
714,-2329.197
715,-1644.365
716,-1228.3571
717,44.5899
718,-462.8018
719,512.6001
720,-280.7488
721,-2736.073
722,4739.5649
723,983.9019
724,4174.4702
725,293.5886
726,5240.9551
727,298.7967
728,1637.775
729,910.9006
730,1319.6331
731,2305.6721
732,-3872.8379
733,1380.559
734,-2433.4331
735,3573.4919
736,4942.1089
737,192.6706
738,3114.146
739,5029.1538
740,8531.1748
741,-1595.379
742,6205.6729
743,6274.0889
744,3988.8049
745,465.691
746,-4441.9028
747,7197.311
748,3141.7939
749,8172.999
750,-3078.6221
751,3639.166
752,3120.8479
753,2679.3159
754,8197.2344
755,-377.3017
756,-1600.1639
757,2628.573
758,2338.4109
759,1535.142
760,4072.448
761,174.2986
762,2917.989
763,3183.396
764,-1957.955
765,223.2232
766,272.7387
767,-4436.5581
768,10138.0801
769,4448.064
770,7119.957
771,-1237.918
772,6826.1841
773,2426.8301
774,-1139.865
775,-4528.103
776,-526.6643
777,3973.186
778,-1764.6689
779,2305.2771
780,-4457.8301
781,3275.2429
782,2772.209
783,2779.9939
784,1142.11
785,-4118.4028
786,2469.2581
787,-1284.561
788,180.9269
789,-2440.8569
790,5660.4448
791,2758.9409
792,10427.3203
793,-6023.4082
794,-3817.802
795,11140.8398
796,2108.4771
797,2942.2129
798,8342.8037
799,-5842.7168
800,8416.0645
801,7627.394
802,-559.8192
803,12719.2305
804,336.0424
805,1415.585
806,-3900.2529
807,-8128.9609
808,6833.6162
809,-8199.5098
810,4956.4482
811,-3875.114
812,-994.2132
813,2023.415
814,-9174.2021
815,4792.686
816,6656.938
817,-156.3022
818,11426.6797
819,-1110.5389
820,-498.7589
821,5784.6421
822,-2338.5439
823,-4762.3799
824,10288.1699
825,-85.842
826,-5792.6299
827,9432.3066
828,-1237.6071
829,11577.6504
830,-5906.0708
831,-1436.6479
832,-747.6784
833,3779.9199
834,6686.0791
835,-10580.1699
836,10068.4297
837,284.3946
838,4784.3169
839,-2786.498
840,10887.6396
841,4101.7319
842,-3374.4199
843,7427.2959
844,11351.75
845,11252.5303
846,10319.7402
847,2104.9719
848,2987.614
849,12221.2305
850,7164.0972
851,12210.5498
852,-6624.4468
853,5208.709
854,18855.6504
855,-685.2932
856,6274.0898
857,10564.0801
858,-1976.442
859,3578.9741
860,1354.582
861,8314.6592
862,615.0848
863,-3321.0481
864,-2859.478
865,-3234.6541
866,22348.9004
867,-1656.937
868,6698.1982
869,-2467.7151
870,7539.5239
871,-12382.8203
872,-10100.3799
873,4637.5518
874,10933.2803
875,11104.5996
876,3406.8711
877,-3593.033
878,-13859.4697
879,-11088.7197
880,26480.8809
881,-5331.9448
882,-3330.6521
883,62.2097
884,1993.137
885,-5423.5371
886,3930.3301
887,6920.0278
888,-2487.7971
889,-5045.4678
890,18028.8809
891,2816.053
892,10693.71
893,4222.8682
894,11420.1201
895,13036.3496
896,16760.5996
897,9046.5
898,12001.8301
899,15065.5898
900,-17046.0801
